distortion,level,seed,qp,feature,primary,n_images,source,oriented_feature_change,log_density_ratio,density_change_percent
stripes,32,,27,glcm_entropy,True,24,kodim22.png,0.31123504293821735,-0.25099609887094726,-22.197459326944504
stripes,32,,27,glcm_entropy,True,24,kodim23.png,0.4091363574750826,-0.3860113839512911,-32.02372127501854
stripes,32,,27,glcm_entropy,True,24,kodim24.png,0.2979464260887599,-0.20574628489504906,-18.59604157767335
stripes,32,,27,glcm_homogeneity,True,24,kodim01.png,0.026137003355389266,-0.15655876200385024,-14.491873006228174
stripes,32,,27,glcm_homogeneity,True,24,kodim02.png,0.06905258252846413,-0.15397186891931644,-14.270386266094414
stripes,32,,27,glcm_homogeneity,True,24,kodim03.png,0.047165843907014726,-0.2200573559041059,-19.752722990874293
stripes,32,,27,glcm_homogeneity,True,24,kodim04.png,0.04609562221994867,-0.3832012605126928,-31.832430891992026
stripes,32,,27,glcm_homogeneity,True,24,kodim05.png,0.019728060072886855,-0.13615157842466694,-12.72896615957777
stripes,32,,27,glcm_homogeneity,True,24,kodim06.png,0.03475650504106598,-0.13258446923822892,-12.417104962268466
stripes,32,,27,glcm_homogeneity,True,24,kodim07.png,0.045484241280711046,-0.20922696451707484,-18.87889013873266
stripes,32,,27,glcm_homogeneity,True,24,kodim08.png,0.014133690429359524,-0.13856118483006374,-12.939001848428832
stripes,32,,27,glcm_homogeneity,True,24,kodim09.png,0.050186244135453695,-0.14623499818689908,-13.604534844948313
stripes,32,,27,glcm_homogeneity,True,24,kodim10.png,0.05262471031353011,-0.18458720488857572,-16.85525695426685
stripes,32,,27,glcm_homogeneity,True,24,kodim11.png,0.041308163064541326,-0.11899805921292847,-11.219047619047618
stripes,32,,27,glcm_homogeneity,True,24,kodim12.png,0.04641093935905438,-0.16582597686250342,-15.280634734058173
stripes,32,,27,glcm_homogeneity,True,24,kodim13.png,0.017161187526487987,-0.11069786098529374,-10.479081430645365
stripes,32,,27,glcm_homogeneity,True,24,kodim14.png,0.028891850013785136,-0.15197033322295533,-14.098623546705868
stripes,32,,27,glcm_homogeneity,True,24,kodim15.png,0.03940665779963948,-0.23717943552638068,-21.115027234860626
stripes,32,,27,glcm_homogeneity,True,24,kodim16.png,0.05008252950237424,-0.1263278734703356,-11.867416395383245
stripes,32,,27,glcm_homogeneity,True,24,kodim17.png,0.042183681060625644,-0.25238069697498716,-22.30511003356955
stripes,32,,27,glcm_homogeneity,True,24,kodim18.png,0.029735607714145962,-0.13729715070643356,-12.828884194353762
stripes,32,,27,glcm_homogeneity,True,24,kodim19.png,0.039722180141909424,-0.22998928631652069,-20.545788506953542
stripes,32,,27,glcm_homogeneity,True,24,kodim20.png,0.03997785936448994,-0.10462273099040173,-9.933574879227047
stripes,32,,27,glcm_homogeneity,True,24,kodim21.png,0.04037370006387153,-0.10178269430994236,-9.677419354838712
stripes,32,,27,glcm_homogeneity,True,24,kodim22.png,0.04153939378788152,-0.25099609887094726,-22.197459326944504
stripes,32,,27,glcm_homogeneity,True,24,kodim23.png,0.05921144857542404,-0.3860113839512911,-32.02372127501854
stripes,32,,27,glcm_homogeneity,True,24,kodim24.png,0.03801854450417441,-0.20574628489504906,-18.59604157767335
stripes,32,,32,sobel_si,True,24,kodim01.png,-4.951435881593127,-0.149889374136007,-13.9196801744503
stripes,32,,32,sobel_si,True,24,kodim02.png,-0.9972971453697781,-0.09381875521765486,-8.955223880597018
stripes,32,,32,sobel_si,True,24,kodim03.png,-1.7777878107758625,-0.1801311408722824,-16.48393194706993
stripes,32,,32,sobel_si,True,24,kodim04.png,-1.1827356158768367,-0.3097038683052131,-26.633581472291144
stripes,32,,32,sobel_si,True,24,kodim05.png,-7.6949022235033055,-0.13129645213919303,-12.304224015187481
stripes,32,,32,sobel_si,True,24,kodim06.png,-3.4366724130871376,-0.10157091216238562,-9.658288619034161
stripes,32,,32,sobel_si,True,24,kodim07.png,-5.832774105381631,-0.245827534613363,-21.7942908926144
stripes,32,,32,sobel_si,True,24,kodim08.png,-10.57171362770032,-0.08216170696081865,-7.8877005347593565
stripes,32,,32,sobel_si,True,24,kodim09.png,-5.429130754429053,-0.1305140852029809,-12.235586893405214
stripes,32,,32,sobel_si,True,24,kodim10.png,-4.281003003752346,-0.19620206221382225,-17.81538461538461
stripes,32,,32,sobel_si,True,24,kodim11.png,-4.513483530836936,-0.12591761085417863,-11.83125147301437
stripes,32,,32,sobel_si,True,24,kodim12.png,-2.565388178397015,-0.20532996700372913,-18.562144597887887
stripes,32,,32,sobel_si,True,24,kodim13.png,-5.481240053952746,-0.11625771504338224,-10.975423599450462
stripes,32,,32,sobel_si,True,24,kodim14.png,-2.3298547069779545,-0.14563288302570634,-13.552499161355247
stripes,32,,32,sobel_si,True,24,kodim15.png,-4.506325745877831,-0.21384939279807694,-19.25300133392618
stripes,32,,32,sobel_si,True,24,kodim16.png,1.3875840963707304,-0.17295919848337302,-15.882806476484191
stripes,32,,32,sobel_si,True,24,kodim17.png,-1.4010427082157264,-0.21427901982902647,-19.28768497617256
stripes,32,,32,sobel_si,True,24,kodim18.png,-5.474017545276837,-0.1128555364928771,-10.672030288689083
stripes,32,,32,sobel_si,True,24,kodim19.png,-7.487729848038896,-0.19857058968503466,-18.00981079187106
stripes,32,,32,sobel_si,True,24,kodim20.png,-1.3231606177852484,-0.08843992377357257,-8.464189965530455
stripes,32,,32,sobel_si,True,24,kodim21.png,-7.021093979874152,-0.011734341221204972,-1.1665762344004516
stripes,32,,32,sobel_si,True,24,kodim22.png,-3.803421091406321,-0.21270348631752653,-19.160419790104953
stripes,32,,32,sobel_si,True,24,kodim23.png,-2.1653239204540142,-0.3197405669671969,-27.366255144032912
stripes,32,,32,sobel_si,True,24,kodim24.png,-8.900628444281153,-0.22833035764360704,-20.413870246085008
stripes,32,,32,luma_sd,True,24,kodim01.png,5.803466413249481,-0.149889374136007,-13.9196801744503
stripes,32,,32,luma_sd,True,24,kodim02.png,9.524966327770706,-0.09381875521765486,-8.955223880597018
stripes,32,,32,luma_sd,True,24,kodim03.png,5.801653118304259,-0.1801311408722824,-16.48393194706993
stripes,32,,32,luma_sd,True,24,kodim04.png,6.161048889266773,-0.3097038683052131,-26.633581472291144
stripes,32,,32,luma_sd,True,24,kodim05.png,3.955563527275906,-0.13129645213919303,-12.304224015187481
stripes,32,,32,luma_sd,True,24,kodim06.png,2.403361761237605,-0.10157091216238562,-9.658288619034161
stripes,32,,32,luma_sd,True,24,kodim07.png,6.387030418020672,-0.245827534613363,-21.7942908926144
stripes,32,,32,luma_sd,True,24,kodim08.png,2.7138606765320645,-0.08216170696081865,-7.8877005347593565
stripes,32,,32,luma_sd,True,24,kodim09.png,6.109492136552433,-0.1305140852029809,-12.235586893405214
stripes,32,,32,luma_sd,True,24,kodim10.png,5.647814529929015,-0.19620206221382225,-17.81538461538461
stripes,32,,32,luma_sd,True,24,kodim11.png,5.040623873443586,-0.12591761085417863,-11.83125147301437
stripes,32,,32,luma_sd,True,24,kodim12.png,4.511306447216292,-0.20532996700372913,-18.562144597887887
stripes,32,,32,luma_sd,True,24,kodim13.png,3.5198579873850733,-0.11625771504338224,-10.975423599450462
stripes,32,,32,luma_sd,True,24,kodim14.png,4.8197872381036575,-0.14563288302570634,-13.552499161355247
stripes,32,,32,luma_sd,True,24,kodim15.png,0.2385019769605634,-0.21384939279807694,-19.25300133392618
stripes,32,,32,luma_sd,True,24,kodim16.png,5.549392723059036,-0.17295919848337302,-15.882806476484191
stripes,32,,32,luma_sd,True,24,kodim17.png,3.7508163705595905,-0.21427901982902647,-19.28768497617256
stripes,32,,32,luma_sd,True,24,kodim18.png,5.167904458834478,-0.1128555364928771,-10.672030288689083
stripes,32,,32,luma_sd,True,24,kodim19.png,4.893724539378589,-0.19857058968503466,-18.00981079187106
stripes,32,,32,luma_sd,True,24,kodim20.png,-1.9936639877133047,-0.08843992377357257,-8.464189965530455
stripes,32,,32,luma_sd,True,24,kodim21.png,5.398424463266281,-0.011734341221204972,-1.1665762344004516
stripes,32,,32,luma_sd,True,24,kodim22.png,5.701738710208993,-0.21270348631752653,-19.160419790104953
stripes,32,,32,luma_sd,True,24,kodim23.png,4.8603192886284035,-0.3197405669671969,-27.366255144032912
stripes,32,,32,luma_sd,True,24,kodim24.png,3.013960432465879,-0.22833035764360704,-20.413870246085008
stripes,32,,32,edge_fraction,True,24,kodim01.png,0.2194849741463165,-0.149889374136007,-13.9196801744503
stripes,32,,32,edge_fraction,True,24,kodim02.png,0.46639533097834435,-0.09381875521765486,-8.955223880597018
stripes,32,,32,edge_fraction,True,24,kodim03.png,0.4852147647570777,-0.1801311408722824,-16.48393194706993
stripes,32,,32,edge_fraction,True,24,kodim04.png,0.45422106179286337,-0.3097038683052131,-26.633581472291144
stripes,32,,32,edge_fraction,True,24,kodim05.png,0.22978293144934214,-0.13129645213919303,-12.304224015187481
stripes,32,,32,edge_fraction,True,24,kodim06.png,0.2577842625300773,-0.10157091216238562,-9.658288619034161
stripes,32,,32,edge_fraction,True,24,kodim07.png,0.4072671888598782,-0.245827534613363,-21.7942908926144
stripes,32,,32,edge_fraction,True,24,kodim08.png,0.20474069523370708,-0.08216170696081865,-7.8877005347593565
stripes,32,,32,edge_fraction,True,24,kodim09.png,0.4645215788665335,-0.1305140852029809,-12.235586893405214
stripes,32,,32,edge_fraction,True,24,kodim10.png,0.453261147801157,-0.19620206221382225,-17.81538461538461
stripes,32,,32,edge_fraction,True,24,kodim11.png,0.34890697793477704,-0.12591761085417863,-11.83125147301437
stripes,32,,32,edge_fraction,True,24,kodim12.png,0.4467721292172222,-0.20532996700372913,-18.562144597887887
stripes,32,,32,edge_fraction,True,24,kodim13.png,0.14399221829724063,-0.11625771504338224,-10.975423599450462
stripes,32,,32,edge_fraction,True,24,kodim14.png,0.27664977218041265,-0.14563288302570634,-13.552499161355247
stripes,32,,32,edge_fraction,True,24,kodim15.png,0.41351558900322527,-0.21384939279807694,-19.25300133392618
stripes,32,,32,edge_fraction,True,24,kodim16.png,0.3730814519019096,-0.17295919848337302,-15.882806476484191
stripes,32,,32,edge_fraction,True,24,kodim17.png,0.4070316899605795,-0.21427901982902647,-19.28768497617256
stripes,32,,32,edge_fraction,True,24,kodim18.png,0.29897353197153537,-0.1128555364928771,-10.672030288689083
stripes,32,,32,edge_fraction,True,24,kodim19.png,0.3791071519991808,-0.19857058968503466,-18.00981079187106
stripes,32,,32,edge_fraction,True,24,kodim20.png,0.2964700762811652,-0.08843992377357257,-8.464189965530455
stripes,32,,32,edge_fraction,True,24,kodim21.png,0.36786463932831615,-0.011734341221204972,-1.1665762344004516
stripes,32,,32,edge_fraction,True,24,kodim22.png,0.3837889725080632,-0.21270348631752653,-19.160419790104953
stripes,32,,32,edge_fraction,True,24,kodim23.png,0.5295295141555317,-0.3197405669671969,-27.366255144032912
stripes,32,,32,edge_fraction,True,24,kodim24.png,0.3196871960272359,-0.22833035764360704,-20.413870246085008
stripes,32,,32,glcm_contrast,True,24,kodim01.png,0.06511245383239739,-0.149889374136007,-13.9196801744503
stripes,32,,32,glcm_contrast,True,24,kodim02.png,0.1334134366221484,-0.09381875521765486,-8.955223880597018
stripes,32,,32,glcm_contrast,True,24,kodim03.png,0.08881191896486762,-0.1801311408722824,-16.48393194706993
stripes,32,,32,glcm_contrast,True,24,kodim04.png,0.09346506742540359,-0.3097038683052131,-26.633581472291144
stripes,32,,32,glcm_contrast,True,24,kodim05.png,0.02396452404048144,-0.13129645213919303,-12.304224015187481
stripes,32,,32,glcm_contrast,True,24,kodim06.png,0.067992854373492,-0.10157091216238562,-9.658288619034161
stripes,32,,32,glcm_contrast,True,24,kodim07.png,0.09033170941428936,-0.245827534613363,-21.7942908926144
stripes,32,,32,glcm_contrast,True,24,kodim08.png,0.008625481090817289,-0.08216170696081865,-7.8877005347593565
stripes,32,,32,glcm_contrast,True,24,kodim09.png,0.10055023034699562,-0.1305140852029809,-12.235586893405214
stripes,32,,32,glcm_contrast,True,24,kodim10.png,0.10653102004900766,-0.19620206221382225,-17.81538461538461
stripes,32,,32,glcm_contrast,True,24,kodim11.png,0.07679698542909952,-0.12591761085417863,-11.83125147301437
stripes,32,,32,glcm_contrast,True,24,kodim12.png,0.08517134164472437,-0.20532996700372913,-18.562144597887887
stripes,32,,32,glcm_contrast,True,24,kodim13.png,0.026122040878859387,-0.11625771504338224,-10.975423599450462
stripes,32,,32,glcm_contrast,True,24,kodim14.png,0.054589621247324194,-0.14563288302570634,-13.552499161355247
stripes,32,,32,glcm_contrast,True,24,kodim15.png,0.07209726131979333,-0.21384939279807694,-19.25300133392618
stripes,32,,32,glcm_contrast,True,24,kodim16.png,0.1033230875128422,-0.17295919848337302,-15.882806476484191
stripes,32,,32,glcm_contrast,True,24,kodim17.png,0.08412099031407894,-0.21427901982902647,-19.28768497617256
stripes,32,,32,glcm_contrast,True,24,kodim18.png,0.06296058925964187,-0.1128555364928771,-10.672030288689083
stripes,32,,32,glcm_contrast,True,24,kodim19.png,0.07712891058543847,-0.19857058968503466,-18.00981079187106
stripes,32,,32,glcm_contrast,True,24,kodim20.png,0.07457135777255547,-0.08843992377357257,-8.464189965530455
stripes,32,,32,glcm_contrast,True,24,kodim21.png,0.08227501168940521,-0.011734341221204972,-1.1665762344004516
stripes,32,,32,glcm_contrast,True,24,kodim22.png,0.08227832555904507,-0.21270348631752653,-19.160419790104953
stripes,32,,32,glcm_contrast,True,24,kodim23.png,0.11636368861843016,-0.3197405669671969,-27.366255144032912
stripes,32,,32,glcm_contrast,True,24,kodim24.png,0.07676368643775444,-0.22833035764360704,-20.413870246085008
stripes,32,,32,glcm_entropy,True,24,kodim01.png,0.23840653468640483,-0.149889374136007,-13.9196801744503
stripes,32,,32,glcm_entropy,True,24,kodim02.png,0.8868526233957041,-0.09381875521765486,-8.955223880597018
stripes,32,,32,glcm_entropy,True,24,kodim03.png,0.31725747213017286,-0.1801311408722824,-16.48393194706993
stripes,32,,32,glcm_entropy,True,24,kodim04.png,0.33185684333395127,-0.3097038683052131,-26.633581472291144
stripes,32,,32,glcm_entropy,True,24,kodim05.png,0.10899153090844749,-0.13129645213919303,-12.304224015187481
stripes,32,,32,glcm_entropy,True,24,kodim06.png,0.24923793977855446,-0.10157091216238562,-9.658288619034161
stripes,32,,32,glcm_entropy,True,24,kodim07.png,0.3405072116201593,-0.245827534613363,-21.7942908926144
stripes,32,,32,glcm_entropy,True,24,kodim08.png,0.1145768066528543,-0.08216170696081865,-7.8877005347593565
stripes,32,,32,glcm_entropy,True,24,kodim09.png,0.3807544884370322,-0.1305140852029809,-12.235586893405214
stripes,32,,32,glcm_entropy,True,24,kodim10.png,0.37797876276498954,-0.19620206221382225,-17.81538461538461
stripes,32,,32,glcm_entropy,True,24,kodim11.png,0.37974610899624617,-0.12591761085417863,-11.83125147301437
stripes,32,,32,glcm_entropy,True,24,kodim12.png,0.39414567012895363,-0.20532996700372913,-18.562144597887887
stripes,32,,32,glcm_entropy,True,24,kodim13.png,0.16343930870861811,-0.11625771504338224,-10.975423599450462
stripes,32,,32,glcm_entropy,True,24,kodim14.png,0.15480608948077457,-0.14563288302570634,-13.552499161355247
stripes,32,,32,glcm_entropy,True,24,kodim15.png,0.2732891780705673,-0.21384939279807694,-19.25300133392618
stripes,32,,32,glcm_entropy,True,24,kodim16.png,0.39213688069281183,-0.17295919848337302,-15.882806476484191
stripes,32,,32,glcm_entropy,True,24,kodim17.png,0.21333055673657286,-0.21427901982902647,-19.28768497617256
stripes,32,,32,glcm_entropy,True,24,kodim18.png,0.2324534582902955,-0.1128555364928771,-10.672030288689083
stripes,32,,32,glcm_entropy,True,24,kodim19.png,0.29553185460522124,-0.19857058968503466,-18.00981079187106
stripes,32,,32,glcm_entropy,True,24,kodim20.png,0.3612132062815496,-0.08843992377357257,-8.464189965530455
stripes,32,,32,glcm_entropy,True,24,kodim21.png,0.32827956525965574,-0.011734341221204972,-1.1665762344004516
stripes,32,,32,glcm_entropy,True,24,kodim22.png,0.31123504293821735,-0.21270348631752653,-19.160419790104953
stripes,32,,32,glcm_entropy,True,24,kodim23.png,0.4091363574750826,-0.3197405669671969,-27.366255144032912
stripes,32,,32,glcm_entropy,True,24,kodim24.png,0.2979464260887599,-0.22833035764360704,-20.413870246085008
stripes,32,,32,glcm_homogeneity,True,24,kodim01.png,0.026137003355389266,-0.149889374136007,-13.9196801744503
stripes,32,,32,glcm_homogeneity,True,24,kodim02.png,0.06905258252846413,-0.09381875521765486,-8.955223880597018
stripes,32,,32,glcm_homogeneity,True,24,kodim03.png,0.047165843907014726,-0.1801311408722824,-16.48393194706993
stripes,32,,32,glcm_homogeneity,True,24,kodim04.png,0.04609562221994867,-0.3097038683052131,-26.633581472291144
